delta_percentile,rating_level,game_type,Apertura,Conteggio
25-50,super_expert,blitz,Indian Defense: Knights Variation,8
25-50,super_expert,blitz,Indian Defense: London System,19
25-50,super_expert,blitz,Indian Defense: Medusa Gambit,1
25-50,super_expert,blitz,Indian Defense: Normal Variation,4
25-50,super_expert,blitz,Indian Defense: Omega Gambit,1
25-50,super_expert,blitz,Indian Defense: Przepiorka Variation,5
25-50,super_expert,blitz,Indian Defense: Spielmann-Indian,1
25-50,super_expert,blitz,Indian Defense: Tartakower Attack,1
25-50,super_expert,blitz,Italian Game,1
25-50,super_expert,blitz,Italian Game: Anti-Fried Liver Defense,1
25-50,super_expert,blitz,Italian Game: Classical Variation,2
25-50,super_expert,blitz,"Italian Game: Classical Variation, Center Attack",30
25-50,super_expert,blitz,"Italian Game: Classical Variation, Closed Variation",1
25-50,super_expert,blitz,"Italian Game: Classical Variation, Giuoco Pianissimo",28
25-50,super_expert,blitz,"Italian Game: Classical Variation, Giuoco Pianissimo, with a5",1
25-50,super_expert,blitz,"Italian Game: Classical Variation, Giuoco Pianissimo, with a6",3
25-50,super_expert,blitz,"Italian Game: Classical Variation, Giuoco Pianissimo, with d6",10
25-50,super_expert,blitz,"Italian Game: Classical Variation, Giuoco Pianissimo, with h6",3
25-50,super_expert,blitz,"Italian Game: Classical Variation, Greco Gambit",4
25-50,super_expert,blitz,Italian Game: Deutz Gambit,3
25-50,super_expert,blitz,"Italian Game: Evans Gambit, Stone-Ware Variation",5
25-50,super_expert,blitz,Italian Game: Giuoco Pianissimo,6
25-50,super_expert,blitz,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",5
25-50,super_expert,blitz,"Italian Game: Giuoco Pianissimo, Normal",20
25-50,super_expert,blitz,Italian Game: Giuoco Piano,4
25-50,super_expert,blitz,"Italian Game: Giuoco Piano, Greco's Attack",2
25-50,super_expert,blitz,Italian Game: Hungarian Defense,8
25-50,super_expert,blitz,Italian Game: Paris Defense,3
25-50,super_expert,blitz,Italian Game: Rousseau Gambit,2
25-50,super_expert,blitz,"Italian Game: Scotch Gambit, Anderssen Attack",1
25-50,super_expert,blitz,"Italian Game: Scotch Gambit, Canal Variation",1
25-50,super_expert,blitz,"Italian Game: Scotch Gambit, Max Lange Attack",3
25-50,super_expert,blitz,"Italian Game: Scotch Gambit, Max Lange Attack Accepted",1
25-50,super_expert,blitz,"Italian Game: Scotch Gambit, Walbrodt-Baird Gambit",2
25-50,super_expert,blitz,"Italian Game: Scotch Gambit, de Riviere Defense",2
25-50,super_expert,blitz,Italian Game: Two Knights Defense,5
25-50,super_expert,blitz,"Italian Game: Two Knights Defense, Fritz Variation",3
25-50,super_expert,blitz,"Italian Game: Two Knights Defense, Maróczy Variation",4
25-50,super_expert,blitz,"Italian Game: Two Knights Defense, Max Lange Attack",3
25-50,super_expert,blitz,"Italian Game: Two Knights Defense, Modern Bishop's Opening",20
25-50,super_expert,blitz,"Italian Game: Two Knights Defense, Perreux Variation",3
25-50,super_expert,blitz,"Italian Game: Two Knights Defense, Polerio Defense, Kieseritzky Variation",20
25-50,super_expert,blitz,"Italian Game: Two Knights Defense, Polerio Defense, Yankovich Variation",7
25-50,super_expert,blitz,"Italian Game: Two Knights Defense, Ponziani-Steinitz Gambit",1
25-50,super_expert,blitz,"Italian Game: Two Knights Defense, Traxler Counterattack, Bishop Sacrifice Line",3
25-50,super_expert,blitz,"Italian Game: Two Knights Defense, Ulvestad Variation",6
25-50,super_expert,blitz,"Italian Game: Two Knights Defense, Ulvestad Variation, Kurkin Gambit",1
25-50,super_expert,blitz,Kangaroo Defense,1
25-50,super_expert,blitz,King's Gambit Accepted: Abbazia Defense,1
25-50,super_expert,blitz,"King's Gambit Accepted: Bishop's Gambit, Steinitz Defense",2
25-50,super_expert,blitz,King's Gambit Accepted: Bonsch-Osmolovsky Variation,3
25-50,super_expert,blitz,King's Gambit Accepted: Quaade Gambit,1
25-50,super_expert,blitz,King's Gambit Declined: Classical Variation,1
25-50,super_expert,blitz,King's Gambit Declined: Mafia Defense,1
25-50,super_expert,blitz,King's Gambit Declined: Queen's Knight Defense,2
25-50,super_expert,blitz,King's Indian Attack,31
25-50,super_expert,blitz,King's Indian Attack: French Variation,1
25-50,super_expert,blitz,King's Indian Attack: Keres Variation,1
25-50,super_expert,blitz,King's Indian Attack: Pachman System,1
25-50,super_expert,blitz,King's Indian Attack: Sicilian Variation,3
25-50,super_expert,blitz,King's Indian Attack: Symmetrical Defense,7
25-50,super_expert,blitz,King's Indian Attack: Wahls Defense,2
25-50,super_expert,blitz,King's Indian Attack: Yugoslav Variation,2
25-50,super_expert,blitz,King's Indian Defense,2
25-50,super_expert,blitz,"King's Indian Defense: Fianchetto Variation, Classical Fianchetto",4
25-50,super_expert,blitz,"King's Indian Defense: Fianchetto Variation, Kavalek Defense",1
25-50,super_expert,blitz,"King's Indian Defense: Fianchetto Variation, Larsen Defense",1
25-50,super_expert,blitz,"King's Indian Defense: Fianchetto Variation, Lesser Simagin (Spassky)",1
25-50,super_expert,blitz,"King's Indian Defense: Fianchetto Variation, Panno Variation",1
25-50,super_expert,blitz,"King's Indian Defense: Fianchetto Variation, Uhlmann-Szabo System",2
25-50,super_expert,blitz,"King's Indian Defense: Fianchetto Variation, Yugoslav Variation, Advance Line",1
25-50,super_expert,blitz,King's Indian Defense: Four Pawns Attack,1
25-50,super_expert,blitz,"King's Indian Defense: Four Pawns Attack, Dynamic Attack",6
25-50,super_expert,blitz,King's Indian Defense: Normal Variation,2
25-50,super_expert,blitz,"King's Indian Defense: Normal Variation, Deferred Fianchetto",1
25-50,super_expert,blitz,"King's Indian Defense: Normal Variation, King's Knight Variation",2
25-50,super_expert,blitz,"King's Indian Defense: Normal Variation, Rare Defenses",2
25-50,super_expert,blitz,King's Indian Defense: Orthodox Variation,11
25-50,super_expert,blitz,"King's Indian Defense: Orthodox Variation, Bayonet Attack",1
25-50,super_expert,blitz,"King's Indian Defense: Orthodox Variation, Classical System",2
25-50,super_expert,blitz,"King's Indian Defense: Orthodox Variation, Classical System, Neo-Classical Line",8
25-50,super_expert,blitz,"King's Indian Defense: Orthodox Variation, Glek Defense",3
25-50,super_expert,blitz,"King's Indian Defense: Orthodox Variation, Gligoric-Taimanov System",1
25-50,super_expert,blitz,"King's Indian Defense: Orthodox Variation, Positional Defense",1
25-50,super_expert,blitz,King's Indian Defense: Petrosian Variation,1
25-50,super_expert,blitz,"King's Indian Defense: Petrosian Variation, Stein Defense",6
25-50,super_expert,blitz,King's Indian Defense: Semi-Classical Variation,1
25-50,super_expert,blitz,"King's Indian Defense: Sämisch Variation, Panno Formation",1
25-50,super_expert,blitz,"King's Indian Defense: Sämisch Variation, Sämisch Gambit",1
25-50,super_expert,blitz,King's Knight Opening: Konstantinopolsky,1
25-50,super_expert,blitz,King's Pawn Game: Alapin Opening,2
25-50,super_expert,blitz,King's Pawn Game: Busch-Gass Gambit,1
25-50,super_expert,blitz,King's Pawn Game: Leonardis Variation,3
25-50,super_expert,blitz,King's Pawn Game: Maróczy Defense,1
25-50,super_expert,blitz,King's Pawn Game: Mengarini's Opening,1
25-50,super_expert,blitz,Kádas Opening,1
25-50,super_expert,blitz,Lasker Simul Special,4
25-50,super_expert,blitz,"Lion Defense: Anti-Philidor, Lion's Cave",1
25-50,super_expert,blitz,Lion Defense: Bayonet Attack,1
25-50,super_expert,blitz,London System,6
25-50,super_expert,blitz,Mexican Defense,3
25-50,super_expert,blitz,Mieses Opening,9
25-50,super_expert,blitz,Mieses Opening: Reversed Rat,1
25-50,super_expert,blitz,Mikenas Defense,8
25-50,super_expert,blitz,Modern Defense,7
25-50,super_expert,blitz,Modern Defense: Modern Pterodactyl,1
25-50,super_expert,blitz,Modern Defense: Norwegian Defense,1
25-50,super_expert,blitz,Modern Defense: Pseudo-Austrian Attack,3
25-50,super_expert,blitz,Modern Defense: Standard Defense,10
25-50,super_expert,blitz,Modern Defense: Standard Line,12
25-50,super_expert,blitz,Neo-Grünfeld Defense: Classical Variation,1
25-50,super_expert,blitz,"Neo-Grünfeld Defense: Classical Variation, Modern Defense",10
25-50,super_expert,blitz,"Neo-Grünfeld Defense: Classical Variation, Original Defense",3
25-50,super_expert,blitz,"Neo-Grünfeld Defense: Classical Variation, Polgar Variation",1
25-50,super_expert,blitz,Neo-Grünfeld Defense: Delayed Exchange Variation,4
25-50,super_expert,blitz,Neo-Grünfeld Defense: Ultra-Delayed Exchange Variation,1
25-50,super_expert,blitz,Neo-Grünfeld Defense: with Nf3,1
25-50,super_expert,blitz,Nimzo-Indian Defense,15
25-50,super_expert,blitz,Nimzo-Indian Defense: Classical Variation,6
25-50,super_expert,blitz,"Nimzo-Indian Defense: Classical Variation, Berlin Variation",2
25-50,super_expert,blitz,"Nimzo-Indian Defense: Classical Variation, Keres Defense",11
25-50,super_expert,blitz,Nimzo-Indian Defense: Kmoch Variation,1
25-50,super_expert,blitz,Nimzo-Indian Defense: Normal Variation,2
25-50,super_expert,blitz,Nimzo-Indian Defense: Reshevsky Variation,1
25-50,super_expert,blitz,Nimzo-Indian Defense: Romanishin Variation,1
25-50,super_expert,blitz,Nimzo-Indian Defense: Rubinstein System,5
25-50,super_expert,blitz,"Nimzo-Indian Defense: Rubinstein System, Rubinstein Variation",11
25-50,super_expert,blitz,Nimzo-Indian Defense: Simagin Variation,1
25-50,super_expert,blitz,Nimzo-Indian Defense: Spielmann Variation,1
25-50,super_expert,blitz,Nimzo-Indian Defense: Sämisch Variation,5
25-50,super_expert,blitz,"Nimzo-Indian Defense: Sämisch Variation, Keres Variation",3
25-50,super_expert,blitz,Nimzo-Indian Defense: Three Knights Variation,3
25-50,super_expert,blitz,Nimzo-Larsen Attack,7
25-50,super_expert,blitz,Nimzo-Larsen Attack: Classical Variation,13
25-50,super_expert,blitz,Nimzo-Larsen Attack: English Variation,1
25-50,super_expert,blitz,Nimzo-Larsen Attack: Indian Variation,11
25-50,super_expert,blitz,Nimzo-Larsen Attack: Modern Variation,13
25-50,super_expert,blitz,Nimzo-Larsen Attack: Symmetrical Variation,1
25-50,super_expert,blitz,Nimzowitsch Defense: Declined Variation,6
25-50,super_expert,blitz,Nimzowitsch Defense: Kennedy Variation,1
25-50,super_expert,blitz,"Nimzowitsch Defense: Kennedy Variation, Main Line",1
25-50,super_expert,blitz,Nimzowitsch Defense: Williams Variation,6
25-50,super_expert,blitz,Old Indian Defense,7
25-50,super_expert,blitz,Old Indian Defense: Normal Variation,2
25-50,super_expert,blitz,Old Indian Defense: Tartakower-Indian,1
25-50,super_expert,blitz,Old Indian Defense: Two Knights Variation,2
25-50,super_expert,blitz,Owen Defense,6
25-50,super_expert,blitz,Petrov's Defense,1
25-50,super_expert,blitz,"Petrov's Defense: Classical Attack, Chigorin Variation, Main Line",2
25-50,super_expert,blitz,"Petrov's Defense: Classical Attack, Mason Variation",1
25-50,super_expert,blitz,"Petrov's Defense: Classical Attack, Staunton Variation",4
25-50,super_expert,blitz,"Petrov's Defense: Cochrane Gambit, Center Variation",1
25-50,super_expert,blitz,"Petrov's Defense: Damiano Variation, Kholmov Gambit",1
25-50,super_expert,blitz,Petrov's Defense: French Attack,2
25-50,super_expert,blitz,Petrov's Defense: Stafford Gambit,2
25-50,super_expert,blitz,Philidor Defense,6
25-50,super_expert,blitz,Philidor Defense: Exchange Variation,3
25-50,super_expert,blitz,Philidor Defense: Hanham Variation,1
25-50,super_expert,blitz,"Philidor Defense: Hanham Variation, Schlechter Variation",2
25-50,super_expert,blitz,Philidor Defense: Larsen Variation,1
25-50,super_expert,blitz,Philidor Defense: Lion Variation,6
25-50,super_expert,blitz,"Philidor Defense: Lion Variation, Shirov Gambit",1
25-50,super_expert,blitz,Pirc Defense,22
25-50,super_expert,blitz,Pirc Defense: Austrian Attack,1
25-50,super_expert,blitz,"Pirc Defense: Austrian Attack, Dragon Formation",2
25-50,super_expert,blitz,"Pirc Defense: Austrian Attack, Weiss Variation",4
25-50,super_expert,blitz,Pirc Defense: Bayonet Attack,10
25-50,super_expert,blitz,Pirc Defense: Classical Variation,2
25-50,super_expert,blitz,"Pirc Defense: Classical Variation, Schlechter Variation",2
25-50,super_expert,blitz,Pirc Defense: Sveshnikov System,1
25-50,super_expert,blitz,Polish Opening,3
25-50,super_expert,blitz,Polish Opening: King's Indian Variation,1
25-50,super_expert,blitz,Ponziani Opening,1
25-50,super_expert,blitz,Ponziani Opening: Jaenisch Counterattack,1
25-50,super_expert,blitz,Pseudo Queen's Indian Defense,1
25-50,super_expert,blitz,"Pterodactyl Defense: Eastern, Anhanguera",1
25-50,super_expert,blitz,"Pterodactyl Defense: Eastern, Benoni",1
25-50,super_expert,blitz,"Pterodactyl Defense: Eastern, Pteranodon",3
25-50,super_expert,blitz,"Pterodactyl Defense: Eastern, Pterodactyl",1
25-50,super_expert,blitz,Queen's Gambit Accepted,1
25-50,super_expert,blitz,"Queen's Gambit Accepted: Central Variation, Alekhine System",1
25-50,super_expert,blitz,"Queen's Gambit Accepted: Central Variation, Greco Variation",2
25-50,super_expert,blitz,"Queen's Gambit Accepted: Central Variation, McDonnell Defense",1
25-50,super_expert,blitz,"Queen's Gambit Accepted: Central Variation, Rubinstein Defense",1
25-50,super_expert,blitz,"Queen's Gambit Accepted: Classical Defense, Alekhine System",1
25-50,super_expert,blitz,"Queen's Gambit Accepted: Classical Defense, Main Line",1
25-50,super_expert,blitz,"Queen's Gambit Accepted: Classical Defense, Rubinstein Variation",2
25-50,super_expert,blitz,Queen's Gambit Accepted: Gunsberg Defense,1
25-50,super_expert,blitz,Queen's Gambit Accepted: Linares Variation,2
25-50,super_expert,blitz,Queen's Gambit Accepted: Old Variation,9
25-50,super_expert,blitz,Queen's Gambit Accepted: Rosenthal Variation,1
25-50,super_expert,blitz,Queen's Gambit Accepted: Saduleto Variation,1
25-50,super_expert,blitz,Queen's Gambit Accepted: Showalter Variation,1
25-50,super_expert,blitz,Queen's Gambit Accepted: Smyslov Variation,6
25-50,super_expert,blitz,Queen's Gambit Declined,17
25-50,super_expert,blitz,Queen's Gambit Declined: Albin Countergambit,12
25-50,super_expert,blitz,"Queen's Gambit Declined: Albin Countergambit, Fianchetto Variation",17
25-50,super_expert,blitz,"Queen's Gambit Declined: Albin Countergambit, Lasker Trap",1
25-50,super_expert,blitz,"Queen's Gambit Declined: Albin Countergambit, Modern Line",4
25-50,super_expert,blitz,"Queen's Gambit Declined: Albin Countergambit, Normal Line",6
25-50,super_expert,blitz,"Queen's Gambit Declined: Austrian Defense, Gusev Countergambit",1
25-50,super_expert,blitz,"Queen's Gambit Declined: Baltic Defense, Pseudo-Slav",1
25-50,super_expert,blitz,Queen's Gambit Declined: Charousek Variation,2
25-50,super_expert,blitz,Queen's Gambit Declined: Chigorin Defense,2
25-50,super_expert,blitz,"Queen's Gambit Declined: Chigorin Defense, Exchange Variation, Costa's Line",1
25-50,super_expert,blitz,"Queen's Gambit Declined: Chigorin Defense, Main Line",3
25-50,super_expert,blitz,Queen's Gambit Declined: Exchange Variation,5
25-50,super_expert,blitz,"Queen's Gambit Declined: Exchange Variation, Positional Variation",21
25-50,super_expert,blitz,"Queen's Gambit Declined: Exchange Variation, Reshevsky Variation",1
25-50,super_expert,blitz,Queen's Gambit Declined: Harrwitz Attack,2
25-50,super_expert,blitz,"Queen's Gambit Declined: Harrwitz Attack, Fianchetto Defense",3
25-50,super_expert,blitz,"Queen's Gambit Declined: Harrwitz Attack, Main Line",2
25-50,super_expert,blitz,Queen's Gambit Declined: Janowski Variation,2
25-50,super_expert,blitz,"Queen's Gambit Declined: Lasker Defense, Teichmann Variation",1
25-50,super_expert,blitz,Queen's Gambit Declined: Marshall Defense,5
25-50,super_expert,blitz,Queen's Gambit Declined: Modern Variation,1
25-50,super_expert,blitz,"Queen's Gambit Declined: Modern Variation, Normal Line",7
25-50,super_expert,blitz,"Queen's Gambit Declined: Neo-Orthodox Variation, Main Line",1
25-50,super_expert,blitz,Queen's Gambit Declined: Orthodox Defense,3
25-50,super_expert,blitz,Queen's Gambit Declined: Queen's Knight Variation,2
25-50,super_expert,blitz,Queen's Gambit Declined: Ragozin Defense,9
25-50,super_expert,blitz,"Queen's Gambit Declined: Ragozin Defense, Alekhine Variation",2
25-50,super_expert,blitz,"Queen's Gambit Declined: Ragozin Defense, Vienna Variation",4
25-50,super_expert,blitz,"Queen's Gambit Declined: Semi-Slav, Abrahams Variation",1
25-50,super_expert,blitz,Queen's Gambit Declined: Semi-Tarrasch Defense,4
25-50,super_expert,blitz,"Queen's Gambit Declined: Tarrasch Defense, Pseudo-Tarrasch",1
25-50,super_expert,blitz,Queen's Gambit Declined: Tartakower Defense,3
25-50,super_expert,blitz,"Queen's Gambit Declined: Tartakower Defense, Makogonov Exchange Variation",1
25-50,super_expert,blitz,Queen's Gambit Declined: Three Knights Variation,29
25-50,super_expert,blitz,"Queen's Gambit Declined: Three Knights, Vienna Variation",2
25-50,super_expert,blitz,Queen's Gambit Declined: Westphalian Variation,2
25-50,super_expert,blitz,Queen's Indian Accelerated,2
25-50,super_expert,blitz,Queen's Indian Defense,1
25-50,super_expert,blitz,"Queen's Indian Defense: Fianchetto Variation, Check Variation, Intermezzo Line",2
25-50,super_expert,blitz,"Queen's Indian Defense: Fianchetto Variation, Nimzowitsch Variation",19
25-50,super_expert,blitz,"Queen's Indian Defense: Fianchetto Variation, Nimzowitsch Variation, Nimzowitsch Attack",4
25-50,super_expert,blitz,"Queen's Indian Defense: Fianchetto Variation, Nimzowitsch Variation, Quiet Line",2
25-50,super_expert,blitz,Queen's Indian Defense: Kasparov Variation,23
25-50,super_expert,blitz,"Queen's Indian Defense: Kasparov-Petrosian Variation, Modern Variation",5
25-50,super_expert,blitz,Queen's Indian Defense: Miles Variation,1
25-50,super_expert,blitz,Queen's Indian Defense: Petrosian Variation,4
25-50,super_expert,blitz,"Queen's Indian Defense: Petrosian Variation, Farago Defense",4
25-50,super_expert,blitz,Queen's Pawn Game,14
25-50,super_expert,blitz,Queen's Pawn Game: Accelerated London System,19
25-50,super_expert,blitz,"Queen's Pawn Game: Accelerated London System, Steinitz Countergambit",8
25-50,super_expert,blitz,"Queen's Pawn Game: Accelerated London System, Steinitz Countergambit Accepted",1
25-50,super_expert,blitz,"Queen's Pawn Game: Accelerated London System, Steinitz Countergambit, Morris Countergambit",1
25-50,super_expert,blitz,Queen's Pawn Game: Anglo-Slav Opening,1
25-50,super_expert,blitz,Queen's Pawn Game: Barry Attack,3
25-50,super_expert,blitz,"Queen's Pawn Game: Barry Attack, Grünfeld Variation",2
25-50,super_expert,blitz,Queen's Pawn Game: Chandler Gambit,1
25-50,super_expert,blitz,Queen's Pawn Game: Chigorin Variation,18
25-50,super_expert,blitz,"Queen's Pawn Game: Chigorin Variation, Alburt Defense",1
25-50,super_expert,blitz,Queen's Pawn Game: Colle System,4
25-50,super_expert,blitz,"Queen's Pawn Game: Colle System, Grünfeld Formation",1
25-50,super_expert,blitz,"Queen's Pawn Game: Colle System, Traditional Colle",3
25-50,super_expert,blitz,Queen's Pawn Game: Hübsch Gambit,1
25-50,super_expert,blitz,Queen's Pawn Game: Krause Variation,6
25-50,super_expert,blitz,Queen's Pawn Game: Levitsky Attack,3
25-50,super_expert,blitz,Queen's Pawn Game: Liedmann Gambit,1
25-50,super_expert,blitz,Queen's Pawn Game: London System,11
25-50,super_expert,blitz,"Queen's Pawn Game: London System, with e6",7
25-50,super_expert,blitz,Queen's Pawn Game: Modern Defense,18
25-50,super_expert,blitz,Queen's Pawn Game: Symmetrical Variation,5
25-50,super_expert,blitz,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan",5
25-50,super_expert,blitz,"Queen's Pawn Game: Torre Attack, Gossip Variation",2
25-50,super_expert,blitz,"Queen's Pawn Game: Torre Attack, Grünfeld Variation",1
25-50,super_expert,blitz,"Queen's Pawn Game: Torre Attack, Grünfeld Variation, Main Line",2
25-50,super_expert,blitz,"Queen's Pawn Game: Veresov, Richter Attack",1
25-50,super_expert,blitz,Queen's Pawn Game: Zukertort Variation,11
25-50,super_expert,blitz,Rapport-Jobava System,19
25-50,super_expert,blitz,Rat Defense: Accelerated Gurgenidze,1
25-50,super_expert,blitz,Rat Defense: English Rat,8
25-50,super_expert,blitz,"Rat Defense: English Rat, Lisbon Gambit",1
25-50,super_expert,blitz,Rat Defense: Small Center Defense,1
25-50,super_expert,blitz,Richter-Veresov Attack: Boyce Defense,1
25-50,super_expert,blitz,Richter-Veresov Attack: Richter Variation,1
25-50,super_expert,blitz,Rubinstein Opening: Bogoljubow Defense,2
25-50,super_expert,blitz,Rubinstein Opening: Classical Defense,1
25-50,super_expert,blitz,Ruy Lopez: Berlin Defense,1
25-50,super_expert,blitz,"Ruy Lopez: Berlin Defense, Improved Steinitz Defense",1
25-50,super_expert,blitz,"Ruy Lopez: Closed, Anti-Marshall",1
25-50,super_expert,blitz,"Ruy Lopez: Closed, Bogoljubow Variation",1
25-50,super_expert,blitz,"Ruy Lopez: Closed, Kholmov Variation",1
25-50,super_expert,blitz,"Ruy Lopez: Closed, Rosen Attack",1
25-50,super_expert,blitz,"Ruy Lopez: Closed, Worrall Attack, Castling Line",1
25-50,super_expert,blitz,Ruy Lopez: Cozio Defense,23
25-50,super_expert,blitz,"Ruy Lopez: Cozio Defense, Paulsen Variation",3
25-50,super_expert,blitz,Ruy Lopez: Exchange Variation,1
25-50,super_expert,blitz,"Ruy Lopez: Exchange Variation, Bronstein Variation",4
25-50,super_expert,blitz,"Ruy Lopez: Exchange Variation, Keres Variation",3
25-50,super_expert,blitz,"Ruy Lopez: Exchange Variation, King's Bishop Variation",1
25-50,super_expert,blitz,"Ruy Lopez: Exchange Variation, Normal Variation",1
25-50,super_expert,blitz,Ruy Lopez: Fianchetto Defense,2
25-50,super_expert,blitz,Ruy Lopez: Morphy Defense,2
25-50,super_expert,blitz,"Ruy Lopez: Morphy Defense, Anderssen Variation",15
25-50,super_expert,blitz,"Ruy Lopez: Morphy Defense, Arkhangelsk Variation",24
25-50,super_expert,blitz,"Ruy Lopez: Morphy Defense, Bayreuth Variation",2
25-50,super_expert,blitz,"Ruy Lopez: Morphy Defense, Duras Variation",1
25-50,super_expert,blitz,"Ruy Lopez: Morphy Defense, Tarrasch Variation",1
25-50,super_expert,blitz,"Ruy Lopez: Morphy Defense, Wormald Attack",2
25-50,super_expert,blitz,Ruy Lopez: Open,2
25-50,super_expert,blitz,"Ruy Lopez: Open, Bernstein Variation",2
25-50,super_expert,blitz,"Ruy Lopez: Open, Classical Defense",1
25-50,super_expert,blitz,"Ruy Lopez: Open, Howell Attack",1
25-50,super_expert,blitz,"Ruy Lopez: Open, Italian Variation",1
25-50,super_expert,blitz,Ruy Lopez: Schliemann Defense,3
25-50,super_expert,blitz,Réti Opening,2
25-50,super_expert,blitz,Réti Opening: Advance Variation,1
25-50,super_expert,blitz,Scandinavian Defense,2
25-50,super_expert,blitz,Scandinavian Defense: Blackburne-Kloosterboer Gambit,1
25-50,super_expert,blitz,Scandinavian Defense: Bronstein Variation,1
25-50,super_expert,blitz,Scandinavian Defense: Classical Variation,2
25-50,super_expert,blitz,Scandinavian Defense: Gubinsky-Melts Defense,6
25-50,super_expert,blitz,Scandinavian Defense: Main Line,8
25-50,super_expert,blitz,Scandinavian Defense: Mieses-Kotroc Variation,7
25-50,super_expert,blitz,Scandinavian Defense: Modern Variation,13
25-50,super_expert,blitz,"Scandinavian Defense: Modern Variation, Gipslis Variation",1
25-50,super_expert,blitz,Scandinavian Defense: Panov Transfer,1
25-50,super_expert,blitz,"Scandinavian Defense: Portuguese Gambit, Banker Variation",1
25-50,super_expert,blitz,"Scandinavian Defense: Portuguese Gambit, Melbourne Shuffle Variation",1
25-50,super_expert,blitz,"Scandinavian Defense: Portuguese Gambit, Wuss Variation",1
25-50,super_expert,blitz,Scandinavian Defense: Valencian Variation,11
25-50,super_expert,blitz,Scotch Game: Benima Defense,7
25-50,super_expert,blitz,Scotch Game: Göring Gambit,2
25-50,super_expert,blitz,"Scotch Game: Göring Gambit, Double Pawn Sacrifice",1
25-50,super_expert,blitz,Scotch Game: Malaniuk Variation,1
25-50,super_expert,blitz,Scotch Game: Mieses Variation,9
25-50,super_expert,blitz,Scotch Game: Schmidt Variation,11
25-50,super_expert,blitz,"Scotch Game: Scotch Gambit, Göring Gambit Declined",1
25-50,super_expert,blitz,"Scotch Game: Scotch Gambit, Kingside Variation",1
25-50,super_expert,blitz,Scotch Game: Tartakower Variation,3
25-50,super_expert,blitz,Semi-Slav Defense,9
25-50,super_expert,blitz,Semi-Slav Defense: Accelerated Move Order,7
25-50,super_expert,blitz,Semi-Slav Defense: Anti-Moscow Gambit,2
25-50,super_expert,blitz,Semi-Slav Defense: Botvinnik Variation,3
25-50,super_expert,blitz,"Semi-Slav Defense: Botvinnik Variation, Lilienthal Variation",4
25-50,super_expert,blitz,Semi-Slav Defense: Marshall Gambit,2
25-50,super_expert,blitz,"Semi-Slav Defense: Marshall Gambit, Forgotten Variation",1
25-50,super_expert,blitz,Semi-Slav Defense: Meran Variation,1
25-50,super_expert,blitz,"Semi-Slav Defense: Meran Variation, Wade Variation",1
25-50,super_expert,blitz,Semi-Slav Defense: Normal Variation,2
25-50,super_expert,blitz,Semi-Slav Defense: Noteboom Variation,15
25-50,super_expert,blitz,"Semi-Slav Defense: Noteboom Variation, Anti-Noteboom Gambit",1
25-50,super_expert,blitz,Semi-Slav Defense: Stoltz Variation,1
25-50,super_expert,blitz,Sicilian Defense,8
25-50,super_expert,blitz,Sicilian Defense: Accelerated Dragon,1
25-50,super_expert,blitz,"Sicilian Defense: Accelerated Dragon, Exchange Variation",5
25-50,super_expert,blitz,"Sicilian Defense: Accelerated Dragon, Maróczy Bind",7
25-50,super_expert,blitz,"Sicilian Defense: Accelerated Dragon, Maróczy Bind, Gurgenidze Variation",2
25-50,super_expert,blitz,"Sicilian Defense: Accelerated Dragon, Modern Bc4 Variation",20
25-50,super_expert,blitz,"Sicilian Defense: Accelerated Dragon, Modern Variation",2
25-50,super_expert,blitz,Sicilian Defense: Alapin Variation,6
25-50,super_expert,blitz,"Sicilian Defense: Alapin Variation, Barmen Defense, Endgame Variation",1
25-50,super_expert,blitz,Sicilian Defense: Boleslavsky Variation,2
25-50,super_expert,blitz,Sicilian Defense: Chekhover Variation,7
25-50,super_expert,blitz,Sicilian Defense: Classical Variation,6
25-50,super_expert,blitz,Sicilian Defense: Closed,29
25-50,super_expert,blitz,"Sicilian Defense: Closed, Traditional",3
25-50,super_expert,blitz,"Sicilian Defense: Delayed Alapin Variation, with d6",9
25-50,super_expert,blitz,"Sicilian Defense: Delayed Alapin Variation, with e6",1
25-50,super_expert,blitz,Sicilian Defense: Dragon Variation,5
25-50,super_expert,blitz,"Sicilian Defense: Dragon Variation, Fianchetto Variation",2
25-50,super_expert,blitz,"Sicilian Defense: Dragon Variation, Modern Bc4 Variation",1
25-50,super_expert,blitz,"Sicilian Defense: Dragon Variation, Yugoslav Attack",12
25-50,super_expert,blitz,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Byrne Variation",1
25-50,super_expert,blitz,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Early Deviations",3
25-50,super_expert,blitz,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Modern Line",7
25-50,super_expert,blitz,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Soltis Variation",1
25-50,super_expert,blitz,Sicilian Defense: Four Knights Variation,3
25-50,super_expert,blitz,"Sicilian Defense: Four Knights Variation, Cobra Variation",6
25-50,super_expert,blitz,"Sicilian Defense: Four Knights Variation, Exchange Variation",2
25-50,super_expert,blitz,Sicilian Defense: French Variation,1
